subject,Customer,Location,Rating,date_time,Views,complaint,Total_reviews_by_customer,Customer_follower
Pathetic Customer Service,kittusvkm,Bangalore Inida,1,"Mar 06, 2007 10:41 PM",4128 Views,"I had taken a ULIP with Metlife last year for 41000/-.  Paid the first premium.  The second premium is due on 31/01/2007.  I have given the cheque to my financial advisor on 14/01/2007.  The cheque got realised after 3-4 days.  But the units are not getting reflecting in my account.  I have called the customer care, the reply was that the units will be bought on premium date i.e on 31/01/2007.  I thought that might be the policy.  On Ist Feb i have checked my account and still the units are not reflecting in my account.  I have called the customer care, the reply was it will happen in 3-4 working days.
After one week, ie in 2nd week of february, I have checked the account and still the units are not getting reflected.  I have the customer care, the answer was pathetic, software has bug and it will take 15 days to resolve that bug.  I don't why that much time it will take.  I have requested the statement, the answer is once the software bug is resolved, then only they can provide the statement.
After 15 days, I have again checked the account, I am surprised that still the account doesnot reflect the latest units.  The customer care have sent mail that we apologize for the inconvenience. Now today also I have checked, the units are not reflecting.  Very Very pathetic customer service.
This I experienced personally, everything written above is true.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
PNB Metlife Endowment Saving +,rakeshanansoni,"New Delhi, India India",1,"Nov 22, 2018 05:23 PM",168 Views,"Is a TOTAL FRAUD .DO NOT GO FOR THAT say I deposited 50 000 for 5 year around 250000 .I will get 160000 after 5 year LOSS of 1 Lac. Agents sitting in Bank often target FD Customer and say that will get more return than FD+ TAX Benefits which is NO WAY TRUE >

...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,1 Follower
Crooks and dangerous,roopamroy,Miamisburg OH India,1,"Jul 26, 2014 03:26 PM",9286 Views,"Only invest in this company if you have sympathy for crooks and criminals since that money will never come back. I believe they are doing business just  to acquire public money and then run away.  My mother invested money for 3 years which was what the agent told her, after which when she wanted to discontinue they would not allow that and kept pursuing her without listening to her.  Finally they applied thousands of unknown hidden cost and service charges and finally she got back only 20% of the principal amount she had invested.
After that their agent calls her after some time and tells her that if she invests more money then they can help her with the injustice done towards her and get back her principal. For that she has to send a cheque of 15000 to some address and sms the cheque no and the DTDC courier number to him, When we questioned him more because we smelled wrongdoing, the agent disconnected. We believe that this was a method employed by metlife to get suck the last possible amount from the investor before shelving his/her record.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
"Peace of mind, not guaranteed",sumanblr,Bangalore India,1,"Jul 26, 2012 11:37 AM",8654 Views,"Policy No: 00241364
Policy started in: December 2006
Policy surrendered in: June 2012
Policy yearly EMI: Rs.6400
Policy total money paid: Rs.38400
Policy surrender value: Rs.9600(25%)
Money lost: Rs.28800(75%)
Metlife email ref# 019-809-863
Hello,
This is to inform or advise or warn people who are planning to invest in Metlife India.
The surrender value that Metlife charges is 70% of the total premiums paid.
I got this confirmed from Metlife email support but the same is not mentioned while you take up the policy, the terms and conditions does not mention the number 70% as a loss if we surrender before maturity.
Below is the email that I received from Metlife:
Dear Mr. Suman
Greetings from MetLife!
This is with reference to your e-mail, regarding above mentioned policy number. We would like to inform you that as per the product feature, policy acquires a surrender value only if the policy has been in force for at least 3 years - provided all premiums have been paid for 3 full policy years.  If premiums are paid for at least three consecutive years the policy acquires a surrender value which is equal to 30% of the premiums paid excluding the first year premium and extra premiums.
We would like to inform you that we are in receipt of surrender request for the policy and the same has been processed. The surrender amount of Rs.9600 has been credited to your account on 26 June 2012. Please refer the below table for the surrender value calculation for your reference. Please feel free to mail us for any further assistance.
Thanks and Regards,
N Subbaramu
Customer Service.
-
So please be carefull while taking up the policy from Metlife.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",6 Reviews,null
"If you have excess money, get drained with Metlife",dayaking,Bangalore India,1,"Apr 08, 2011 11:29 AM",4186 Views,"I had purchased a ""Met-smart"" plan in april 2006. With the advice of RAMESH MANOOR from Metlife.
Initially I had agreed for a policy of 2 lac coverage. At the last minute, he had changed it to Rs 4lac with lot of forceful convincing by luring me with lot of benefits, coverage etc. Ramesh was introduced to me by one of my friend, who was a metlife Agent.
After receiving the policy, I was shocked to know all types of charges, which were never explained to me before I purchased the fund. I am attaching some of the charges as below.
Premium Allocation Charges, Policy Administration Charge, Face Amount Related Charges, Mortality Charge, Unit Adjustment, Service Tax, Additional Cess, Educational Cess, Auto Unit Journal. After all this, the ""Closing Balance"" Balance was pea-nuts.
When I asked about this, to Ramesh, he said, ""it will be there for the first time, but from next premium onwards, the money would grow like anything"".
After the second premium payment, the story was same again. Then he said, ""Nothing to worry, after the first three years, e money would double""
After that he stopped taking my calls, stopped replying to my mails.  There not much to tell about the courtesy of customtakeouter care executives. The online login and account management does not work, as you need to change the password very often and it should include a complex combination of letters, numbers and special characters. You should not re-use the password which was used for last six month / 12 times, whichever is later. So I stopped using the online facility.
If you want to switch the funds, there, you would have to pay again.
All in all, it is not a Mutual Fund, Nor an Insurance policy, but only a money drainer.
After 5 years now, the fund value is less than what I have paid to them. If I want to withdraw/ close the fund value anytime, before 10 years, I have to fore-go a huge percentage of the final NAV.
Never ever plan to but a ULIP [Unit Linked Policy] product. Go for Pure Insurance, or Pure Mutual Fund.
These ULIP people are showing the benefits of Mutual Fund, and Insurance, but they have all the conditions beneath the blanket to siphon-off your money.
Thanks to IRDA for the recent rules and some courtesy towards the poor citizens.
Thanks,
dayaking@gmail.com
  ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",5 Reviews,1 Follower
NEVER INVEST. Worst Fund Performance by PNB MetLif,ramireddysaikrish,India,1,"Jun 15, 2016 03:00 PM",11548 Views,"I took  ULIP  Met life met smart  Accelerator fund  in 2006 ==policy number 00203123, ==   from 2006 to 2016( 10 Years) quarterly premium of Rs 8999 . Total investment of Rs 359960 .
Today the fund value  Rs 450000. not even 7 to 8 percent of return, not even Saving deposit returns. they are deducting  unnecessary and huge charges on ULIP products, no transparency in deducting charges and cheating the customers.
My 10 years investment  Returns is not equivalent to Bank deposit. they don’t care their fund returns loses.
Metlife should seriously look into the working of its fund managers and try to improve the fund performance which is consistently worst.
I am  asking PNB
1. Explain me why your funds are not performing as well as your peers in the industry?
2.Your fund managers are responsible for the loss of hard earned money .
3. why you are charges are not transparent?
I know with this review you are not going to change .
I generally don't write reviews but my investment returns with metlife  has forced me to write this review. I thought to share with other persons so they don’t go through the same pain by starting a policy with pnbmetlife.
ADVICE: Choose some other policy that has some credibility and decent track record. DO NOT BUY METLIFE EVER.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Best whole life product Metlife has,vikash1983,Bangalore India,4,"Jul 01, 2012 02:02 PM",8245 Views,"I have one MSP policy with Metlife India Insurance Company which is whole life plan and service provided by Metlife is awesme plse Visit Metlife Bangalore Jayanagar Branch for any service related issue and thanks for such a wounder full product and superb Customer Service at Metlife Jayanagar Bangalore Branch.
I have selected the product because of my one relative is Financial Ad-visor at Metlife India but later when the service provided by the representative and explanation about product made me satisfied

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Loss due to Metlife Multiplier policy..,shashiprasad123,Bangalore BE,1,"Jul 09, 2013 12:37 PM",10470 Views,"I took Metlife Multiplier ULIP policy  in 2008. with annual premium of Rs. 24000/- ( 12k twice a year ) . Till now I have paid premium of rs 132000/-. The fund value is roughly around rs. 1, 28000/-. Now as I want to surrender this policy, I called up customer care execuitive who informed me that there wil be surrender charges of Rs. 12000/- plus service charges and I will around around Rs1, 15000/-. There is no surrender charges after 10th year. . This is huge loss for me.
Please, someone advise me if I need to continue this policy or not.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,1 Follower
Metlife is Worst Insurance Company,noortopan,India,1,"Feb 20, 2017 05:08 PM",6490 Views,"My policy is matured after 10 years. I am struggling for maturity amount for almost 4 months and all my efforts seem to be in vain. I had sent original policy document and other requested documents, they said they did not receive. Again sent policy lost affidavit and other documents 2 months back but still there is nothing moved. Talking to Grievance department within Metlife. Request you not to buy any policy from them.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
"Very bad customer service, bad for online payment",Balakiran,Bangalore India,1,"Jul 20, 2011 06:22 PM",5454 Views,"I had a metlife policy(no:00579074)
I tried to pay online premium of RS 6000/-  twice(2 times) on July 1st 2011, but both the transactions was failed and reasoned as NETWORK DELAY. I tried again on July 2nd 2011 for Rs 6000/- and it was successful.
All the 3 transaction worth each Rs 6000/- and total of Rs 18000/- are deducted from my credit card account.
I waited for one week for the return of excess amount of Rs 12000/- because these is natural for all the online payemts/ transaction. All the failed transactions will usually take 3 to 4 days to return.
But in the case of metlife I am still waiting for my amount even after 20 days.
I tried to contact customer care so many times. but it will never connect to customer representative. it puts you on hold for minutes and says in between all the representatives are busy. after 10 mins call will get disconnected.
So later I wrote a mail to them and explained all the scenario in mail. I got a reply after 4 days and they asked proof for 3 transaction of each 6000. I replied the mail with my credit card statement. later on there is no update, no mail or no phone call from them.
I will see next 2 to 3 days. if I don't get my money back I will raise a cheating complaint with consumer forum.
Thanks & Regards,
Balakiran
Mobile:+919900522726

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",5 Reviews,null
Metlife lost Policy. Rrefusing to pay surender Amt,rozariopm,India,1,"Sep 16, 2015 03:52 PM",9332 Views,"We have 2 policies:00110576 & 00111801
We had surrendered our policies on 21 Aug 2015 and got the acknowledgement.
But the company is not settling the amount(more than Rs 10 lacs).
They are behaving like a chit fund company. Never expected this from a Public Sector & Multinational company.
Although I keep telling them repeatedly that the policy is with them, they go no like a broken record ""Submit your policy"".
Does anybody have any suggestion how to get them to settle my account.
Rozario & Kavitha

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Avoid taking any policy from metlife,ajay9331,noida India,1,"Feb 15, 2011 07:49 PM",3244 Views,"I had taken metlife policy from a metlife agent who made me a sheer fool. Its agent tell anything to make you buy the product. I took the policy in 2008 for 50K per annum. its charges are so much that they took my first premium 50K as service charges and they are not stopping here..they are charging around 2K on every premium. so far I have given them 1.5 L but my actual amount which will be invested further is only 90K....i have learnt the lesson hard way..only giving this feedback to make others aware of this loot they are doing openly under the nose of govt.


Choose wisely the plan...do not invest at 11th hour and read the brochure instead of asking the agents..if agent promise you something ask for the written doc on same in policy doc.


If you have taken the policy, read the policy document as soon as you get it..about charges, terms and conditions and all.policy can be terminated within 15 days of when you get the document.



 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",6 Reviews,null
Worst customer support I really see,kmadhuri493,Hyderabad India,1,"Apr 01, 2011 02:58 AM",2741 Views,"I try to open the website but its the worst of the websites. It does not open most of the times. I thought of taking just a printout of the premiums but till now I could not login into the website. Even when I call the customer service regarding this, they say, its down now, u can try later...But, I could not see it UP never and ever.
Regarding my policy..My agent had enabled Auto-debit facility without myself knowing it. As I am near to due date, I paid the premium 1 day in advance feb17th 2011. Again on due date 18th feb 2011, the premium amt got debited.
I am really surprised why this happened and went through the document and came to know that Auto-debit is ON.
Then called Metlife customer service
1) They said..we can see 2 transactions but could not confirm it..may take 1 week time that it gets confirmed. So, after a week they called me back, asked if the amt can be taken as next year's premium.
I said no..and asked for refund of the amount..and they have taken the request and said a cheque will be sent to comm address..I said ok..fine..
2)Later a week, they called me and said..we need account statement and written statement..that too not via mail..to the bank address...
Didn't they know this when I am logging a refund request.. Only after a week, they told me this..
3) ok..I said..and asked that guy..if I can send..auto-debit cancellation letter..(which I have to provide a written stmt) and this refund request in the same courier..The person said fine..u can send both in the same courier..
I have sent both the written statements + acnt statement..in the same courier..march7th....they have cancelled auto-debit..
4) I called Metlife..on March9th and enquired about both..they said..auto-debit is OFF now..and refund is in progress..n it taked 15-20 working days..for the cheque..
I wonder..why cheque, because it is the same account that they debited from my account using auto-debit facility. Can't they credit into the account..They replied, No, we can credit only if you have paid using credit card..What's the use for customers??
5) And, I was under the impression that atleast by March end, I will be receiving the amount..and
called Metlife on March28th for status enquiry.They replied..we haven't received the acnt statement yet..please provide the same..I was really frustated of this stupid answer..because Auto-debit is OFF...with the written stmt provided by me..and I have also sent the refund req in the same courier..
They say they haven't received refund req..But, I couriered in the same one..
What a stupidity is this..I just shouted at the lady..who answered the call..She asked for courier POD no..I had no number at that time..
And asked to call the branch to which I have sent the courier..Begumpet..Hyderabad..
When I call them, its non-stoply engaged..
Even if I forget sending acnt stmt, because I logged a call, they should remind me, , .No reminder sent..
6) Later in the evening, once again , I couriered all the required documents. This time only refund request..and called Metlife..The guy who lifted..the phone said..the girl who attended the call in the morning..expedited the process..and she will get back to me..he is not saying when will she gets back to me..or with what will she get back to me..
I said..u will once again ask me abt courier POD no..thats it..u will never return my money..pls note down the courier POD no, I said..and have given that..
7) next day, that is today, 29th March, some lady called me..and asked to email the same..I said..anyway..I have sent the courier once again..and I have mailed them the same too..
Should wait for their next response....I want my money back..Its Rs.25000..It may be a less amt for me..but what a stupid process is this?
1) No credit facility..
2) Website never UP.
3) Agent not intimating me..in advance of the Auto-debit..
4) No email faciility...why all written documents..
5) Wrong answers..courier contains..all documents..but lying just to customers..
6) Frustating the customers just playing with their money..
7) Very late feedback..and customer service..
8) Finally, I am eagerly waiting when will I get my money..Its more than 1.5 months that Metlife holded my money..I need with interest..

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,1 Follower
