,QueryImageName,QueryImageClass,Top1 ImgCls,Top2 ImgCls,Top3 ImgCls,Top4 ImgCls,Top5 ImgCls,Top1 similaritys,Top2 similaritys,Top3 similaritys,Top4 similaritys,Top5 similaritys
23,image_00270.jpg,73,78,77,73,73,81,0.78,0.86,0.89,0.86,0.81
24,image_01994.jpg,80,77,77,80,81,77,0.66,0.68,0.66,0.68,0.68
25,image_01244.jpg,74,78,74,74,74,74,0.61,0.59,0.76,0.72,0.65
26,image_00229.jpg,77,77,77,77,46,77,0.71,0.77,0.73,0.67,0.68
27,image_01586.jpg,82,77,82,74,88,82,0.78,0.73,0.68,0.66,0.71
28,image_00318.jpg,73,73,73,73,78,73,0.76,0.79,0.74,0.75,0.76
29,image_01795.jpg,83,83,83,46,83,74,0.72,0.82,0.68,0.78,0.76
30,image_00959.jpg,46,46,83,46,46,46,0.66,0.6,0.64,0.65,0.62
31,image_01253.jpg,74,81,74,81,89,78,0.7,0.8,0.76,0.79,0.73
32,image_01355.jpg,51,83,51,82,89,82,0.6,0.64,0.62,0.66,0.61
33,image_01391.jpg,51,51,51,51,51,51,0.81,0.73,0.77,0.82,0.73
34,image_00605.jpg,89,89,89,83,51,74,0.72,0.68,0.68,0.64,0.59
35,image_01995.jpg,80,77,80,77,80,44,0.6,0.62,0.62,0.62,0.56
36,image_00354.jpg,73,73,73,78,88,88,0.8,0.74,0.79,0.68,0.76
37,image_00029.jpg,77,77,77,77,77,77,0.81,0.8,0.67,0.76,0.71
38,image_00922.jpg,81,81,81,81,73,81,0.83,0.81,0.79,0.75,0.75
39,image_00732.jpg,89,46,83,77,83,89,0.75,0.76,0.66,0.74,0.71
40,image_01518.jpg,44,44,44,80,80,44,0.59,0.65,0.59,0.64,0.62
41,image_01789.jpg,83,51,51,89,88,74,0.76,0.73,0.7,0.67,0.63
42,image_00929.jpg,81,81,83,81,74,77,0.88,0.77,0.72,0.73,0.77
43,image_01600.jpg,82,82,88,78,74,78,0.82,0.71,0.72,0.64,0.73
44,image_00192.jpg,77,77,78,77,78,83,0.77,0.79,0.8,0.8,0.78
45,image_00346.jpg,73,78,73,73,81,78,0.84,0.7,0.69,0.77,0.75
46,image_01822.jpg,83,83,83,82,89,51,0.82,0.82,0.8,0.76,0.75
47,image_01564.jpg,44,44,44,44,82,44,0.75,0.68,0.68,0.7,0.69
48,image_00396.jpg,73,81,81,81,81,81,0.77,0.83,0.84,0.76,0.76
49,image_00507.jpg,88,80,88,80,80,80,0.6,0.54,0.56,0.59,0.54
50,image_01185.jpg,74,83,46,74,88,89,0.7,0.71,0.77,0.66,0.65
51,image_00025.jpg,77,77,77,77,83,77,0.72,0.74,0.74,0.73,0.72
52,image_01280.jpg,74,88,88,74,74,83,0.64,0.65,0.72,0.63,0.67
53,image_01976.jpg,80,78,89,77,88,83,0.68,0.65,0.61,0.58,0.65
54,image_01697.jpg,83,89,88,89,78,89,0.74,0.63,0.72,0.69,0.72
55,image_00680.jpg,89,46,46,83,51,51,0.68,0.66,0.66,0.65,0.66
56,image_00786.jpg,81,81,81,83,81,81,0.83,0.78,0.83,0.82,0.79
57,image_00308.jpg,73,73,73,81,73,83,0.81,0.78,0.69,0.66,0.73
58,image_01319.jpg,51,81,51,51,51,51,0.71,0.67,0.71,0.74,0.74
59,image_00847.jpg,81,81,83,89,81,81,0.8,0.78,0.76,0.78,0.8
60,image_00361.jpg,73,73,73,73,73,73,0.7,0.66,0.66,0.66,0.65
61,image_01388.jpg,51,51,51,51,51,51,0.67,0.67,0.65,0.62,0.68
62,image_01887.jpg,78,78,78,78,78,51,1.0,0.89,0.87,0.88,0.73
63,image_00189.jpg,77,51,46,46,51,51,0.76,0.7,0.7,0.7,0.63
64,image_01512.jpg,44,81,77,73,77,46,0.66,0.68,0.72,0.65,0.72
65,image_00558.jpg,88,88,88,51,83,88,0.76,0.6,0.64,0.64,0.64
66,image_00684.jpg,89,81,83,89,89,78,0.8,0.8,0.81,0.84,0.8
67,image_01379.jpg,51,89,89,51,51,46,0.68,0.7,0.73,0.75,0.75
68,image_00566.jpg,88,88,88,78,74,80,0.66,0.74,0.68,0.72,0.56
69,image_00168.jpg,77,82,82,77,82,82,0.74,0.78,0.8,0.81,0.81
70,image_00734.jpg,89,80,89,89,89,80,0.66,0.71,0.69,0.74,0.63
71,image_00575.jpg,88,81,77,82,46,82,0.63,0.63,0.64,0.64,0.64
72,image_01929.jpg,78,78,78,78,78,51,0.89,0.89,0.89,0.91,0.71
73,image_00264.jpg,73,88,78,73,83,78,0.64,0.64,0.79,0.82,0.71
74,image_00690.jpg,89,83,77,80,83,89,0.69,0.69,0.75,0.76,0.69
75,image_01571.jpg,44,82,82,82,44,82,0.76,0.76,0.81,0.72,0.81
76,image_01466.jpg,51,51,51,51,51,51,0.84,0.73,0.84,0.85,0.82
77,image_00220.jpg,77,77,77,77,77,77,0.71,0.75,0.74,0.67,0.75
78,image_00222.jpg,77,77,77,73,77,77,0.76,0.77,0.7,0.73,0.73
79,image_00311.jpg,73,73,73,88,78,73,0.83,0.77,0.73,0.73,0.76
80,image_00282.jpg,73,73,78,77,77,73,0.74,0.68,0.7,0.73,0.68
81,image_00552.jpg,88,88,78,73,88,89,0.83,0.78,0.71,0.74,0.75
82,image_00633.jpg,89,89,89,89,89,89,0.81,0.73,0.69,0.77,0.81
83,image_00044.jpg,77,77,77,77,77,77,0.75,0.72,0.71,0.77,0.79
84,image_00648.jpg,89,89,89,89,46,89,0.75,0.71,0.73,0.63,0.73
85,image_01501.jpg,44,44,44,44,44,83,0.72,0.71,0.73,0.8,0.75
86,image_01817.jpg,83,89,89,83,83,80,0.71,0.68,0.7,0.73,0.66
87,image_01203.jpg,74,74,74,74,74,88,0.73,0.77,0.78,0.75,0.63
88,image_00932.jpg,81,81,81,81,81,81,0.81,0.82,0.76,0.8,0.76
89,image_00153.jpg,77,77,77,77,82,78,0.85,0.81,0.78,0.82,0.79
90,image_01874.jpg,78,77,74,51,73,77,0.69,0.84,0.76,0.66,0.71
91,image_01578.jpg,44,44,44,51,44,44,0.67,0.63,0.59,0.58,0.64
92,image_01318.jpg,51,44,51,51,81,51,0.78,0.72,0.72,0.75,0.76
93,image_01588.jpg,82,74,83,51,74,82,0.69,0.7,0.7,0.71,0.69
94,image_01902.jpg,78,78,89,78,80,73,0.65,0.64,0.66,0.63,0.62
95,image_01440.jpg,51,51,51,51,51,51,0.66,0.73,0.72,0.71,0.74
96,image_00838.jpg,81,78,81,73,78,81,0.81,0.77,0.75,0.66,0.82
97,image_01079.jpg,46,46,46,46,46,46,0.75,0.83,0.76,0.66,0.77
98,image_00203.jpg,77,77,77,77,77,77,0.83,0.8,0.79,0.78,0.77
99,image_00409.jpg,73,73,73,78,83,73,0.83,0.8,0.73,0.78,0.81
100,image_01092.jpg,46,46,77,77,46,46,0.75,0.68,0.67,0.67,0.62
101,image_00572.jpg,88,74,78,78,74,73,0.69,0.7,0.69,0.66,0.66
102,image_02024.jpg,80,80,89,80,78,88,0.68,0.65,0.64,0.66,0.58
103,image_01978.jpg,80,80,80,80,88,89,0.67,0.66,0.63,0.62,0.69
104,image_00224.jpg,77,77,77,77,77,82,0.66,0.61,0.64,0.67,0.6
105,image_01885.jpg,78,78,78,78,73,73,0.84,0.86,0.81,0.78,0.79
106,image_01177.jpg,74,74,74,81,74,74,0.77,0.69,0.65,0.72,0.68
107,image_00276.jpg,73,80,78,80,80,89,0.61,0.68,0.63,0.62,0.64
108,image_01191.jpg,74,46,74,46,77,88,0.75,0.69,0.74,0.62,0.61
109,image_00512.jpg,88,82,74,88,44,44,0.66,0.66,0.65,0.68,0.61
110,image_01729.jpg,83,83,83,83,83,83,0.8,0.72,0.78,0.7,0.71
111,image_00721.jpg,89,83,89,89,74,89,0.76,0.86,0.76,0.77,0.86
112,image_01972.jpg,80,89,80,80,80,80,0.62,0.56,0.57,0.63,0.6
113,image_01130.jpg,46,46,46,46,46,46,0.75,0.74,0.7,0.71,0.77
114,image_01189.jpg,74,74,74,83,74,74,0.61,0.64,0.68,0.66,0.68
115,image_01662.jpg,82,82,44,44,44,82,0.67,0.63,0.64,0.67,0.73
116,image_00865.jpg,81,51,81,82,81,81,0.59,0.62,0.63,0.62,0.61
117,image_00895.jpg,81,81,81,81,81,81,0.83,0.8,0.85,0.86,0.83
118,image_00180.jpg,77,73,89,77,77,77,0.73,0.72,0.78,0.76,0.76
119,image_01241.jpg,74,46,74,77,80,46,0.66,0.68,0.6,0.62,0.69
120,image_00271.jpg,73,73,73,73,78,73,0.84,0.85,0.74,0.79,0.84
121,image_01242.jpg,74,83,80,89,89,46,0.61,0.6,0.67,0.63,0.69
122,image_02064.jpg,80,80,80,80,80,80,0.67,0.64,0.62,0.68,0.63
123,image_00067.jpg,77,82,82,83,78,44,0.73,0.66,0.69,0.66,0.62
124,image_01985.jpg,80,80,89,80,80,89,0.68,0.61,0.63,0.64,0.64
125,image_01681.jpg,82,44,82,82,88,44,0.71,0.75,0.72,0.65,0.72
126,image_00439.jpg,73,81,81,81,81,81,0.74,0.77,0.79,0.77,0.77
127,image_00940.jpg,81,81,81,81,81,81,0.8,0.82,0.83,0.76,0.72
128,image_00421.jpg,73,73,73,83,81,51,0.92,0.73,0.75,0.73,0.67
129,image_00212.jpg,77,77,77,77,77,77,0.76,0.82,0.83,0.77,0.79
130,image_01421.jpg,51,51,51,51,51,51,0.7,0.77,0.74,0.7,0.77
131,image_01843.jpg,78,83,51,46,83,74,0.68,0.67,0.65,0.72,0.7
132,image_01934.jpg,78,78,73,78,89,73,0.9,0.69,0.69,0.64,0.69
133,image_01335.jpg,51,51,51,46,51,82,0.65,0.68,0.65,0.68,0.7
134,image_01726.jpg,83,89,51,78,51,51,0.71,0.74,0.78,0.83,0.82
135,image_01842.jpg,78,78,78,89,74,78,0.86,0.73,0.69,0.7,0.78
136,image_01070.jpg,46,46,46,46,46,46,0.82,0.73,0.69,0.77,0.75
137,image_01482.jpg,51,89,51,83,51,51,0.71,0.76,0.72,0.75,0.68
138,image_01309.jpg,74,74,74,46,74,74,0.78,0.77,0.72,0.73,0.67
139,image_01221.jpg,74,46,74,80,88,74,0.7,0.72,0.56,0.64,0.72
140,image_01848.jpg,78,78,78,78,81,78,0.79,0.81,0.77,0.74,0.83
141,image_00807.jpg,81,81,81,81,81,81,0.79,0.84,0.84,0.83,0.8
142,image_01424.jpg,51,51,51,51,51,51,0.88,0.83,0.77,0.8,0.83
143,image_00006.jpg,77,77,77,77,77,81,0.74,0.76,0.73,0.77,0.61
144,image_00818.jpg,81,81,81,81,81,81,0.8,0.84,0.74,0.79,0.82
145,image_00708.jpg,89,80,89,89,89,89,0.6,0.64,0.65,0.69,0.69
146,image_00401.jpg,73,81,81,81,81,81,0.84,0.82,0.82,0.77,0.81
147,image_00057.jpg,77,77,77,77,77,82,0.81,0.78,0.81,0.75,0.73
148,image_01954.jpg,78,78,89,78,89,88,0.85,0.71,0.75,0.69,0.61
149,image_01859.jpg,78,78,78,78,73,78,0.83,0.83,0.81,0.75,0.82
150,image_01422.jpg,51,51,51,51,51,51,0.74,0.67,0.7,0.77,0.77
151,image_01576.jpg,44,44,44,51,51,44,0.65,0.64,0.69,0.68,0.75
152,image_00310.jpg,73,80,80,88,73,88,0.69,0.68,0.65,0.71,0.71
153,image_00636.jpg,89,89,81,89,80,81,0.83,0.77,0.75,0.7,0.8
154,image_00695.jpg,89,89,89,83,46,89,0.63,0.63,0.63,0.67,0.64
155,image_01730.jpg,83,89,89,83,83,77,0.72,0.7,0.64,0.76,0.75
156,image_00499.jpg,88,78,80,80,80,80,0.59,0.57,0.63,0.61,0.63
157,image_00585.jpg,88,74,88,88,88,88,0.69,0.66,0.7,0.67,0.8
158,image_01656.jpg,82,83,81,82,82,83,0.78,0.73,0.78,0.84,0.76
159,image_00392.jpg,73,78,73,73,83,81,0.73,0.75,0.8,0.75,0.73
160,image_00040.jpg,77,77,77,77,77,77,0.71,0.82,0.74,0.73,0.77
161,image_01370.jpg,51,83,46,51,51,89,0.77,0.74,0.7,0.74,0.7
162,image_00942.jpg,81,81,81,81,81,81,0.83,0.77,0.8,0.8,0.83
163,image_00275.jpg,73,89,78,78,80,89,0.71,0.77,0.77,0.63,0.75
164,image_00113.jpg,77,74,77,77,46,89,0.63,0.58,0.7,0.58,0.62
165,image_00866.jpg,81,81,81,81,81,81,0.81,0.83,0.8,0.77,0.78
166,image_01835.jpg,78,78,78,78,78,81,0.91,0.91,0.92,0.9,0.72
167,image_01953.jpg,78,78,78,78,78,78,0.75,0.81,0.75,0.81,0.81
168,image_01771.jpg,83,46,83,51,51,46,0.68,0.72,0.7,0.64,0.64
169,image_00214.jpg,77,77,77,77,77,77,0.79,0.72,0.7,0.79,0.69
170,image_00167.jpg,77,77,77,77,82,82,0.78,0.74,0.8,0.75,0.78
171,image_02018.jpg,80,74,89,80,80,46,0.62,0.59,0.59,0.62,0.64
172,image_01372.jpg,51,82,46,82,51,51,0.67,0.69,0.65,0.77,0.68
173,image_00134.jpg,77,77,77,77,77,82,0.66,0.71,0.74,0.62,0.66
174,image_01278.jpg,74,46,89,74,46,74,0.65,0.63,0.66,0.67,0.78
175,image_01658.jpg,82,51,83,51,82,51,0.77,0.68,0.77,0.72,0.72
176,image_00991.jpg,46,46,46,46,46,46,0.82,0.81,0.79,0.75,0.73
177,image_00359.jpg,73,51,81,74,73,51,0.76,0.78,0.81,0.75,0.72
178,image_00604.jpg,89,89,89,89,74,89,0.79,0.79,0.72,0.71,0.84
179,image_01956.jpg,78,74,89,89,78,74,0.75,0.73,0.72,0.61,0.61
180,image_01085.jpg,46,46,46,46,46,46,0.73,0.69,0.66,0.71,0.73
181,image_00155.jpg,77,77,82,77,82,77,0.74,0.75,0.68,0.75,0.8
182,image_00415.jpg,73,73,82,73,81,78,0.79,0.7,0.75,0.76,0.74
183,image_01886.jpg,78,89,83,89,89,89,0.67,0.68,0.69,0.69,0.67
184,image_00191.jpg,77,77,77,77,77,77,0.81,0.74,0.75,0.74,0.71
185,image_00871.jpg,81,81,88,78,81,81,0.78,0.63,0.68,0.73,0.75
186,image_00795.jpg,81,81,81,81,73,81,0.7,0.8,0.79,0.75,0.79
187,image_00801.jpg,81,81,81,81,81,81,0.88,0.84,0.85,0.87,0.89
188,image_00685.jpg,89,51,89,89,51,89,0.72,0.73,0.8,0.7,0.73
189,image_01701.jpg,83,83,78,83,51,81,0.7,0.71,0.72,0.73,0.7
190,image_00487.jpg,88,77,77,82,77,46,0.6,0.61,0.6,0.65,0.66
191,image_00714.jpg,89,83,89,83,80,89,0.78,0.79,0.76,0.56,0.8
192,image_01262.jpg,74,46,77,51,46,89,0.71,0.61,0.61,0.64,0.66
193,image_01924.jpg,78,78,78,78,82,83,0.7,0.73,0.69,0.72,0.71
194,image_00578.jpg,88,74,88,88,88,88,0.71,0.71,0.72,0.64,0.71
195,image_00510.jpg,88,88,88,74,44,88,0.8,0.67,0.67,0.65,0.68
196,image_01300.jpg,74,74,74,74,74,74,0.75,0.72,0.74,0.75,0.73
197,image_01236.jpg,74,74,74,74,74,74,0.61,0.78,0.8,0.8,0.79
198,image_00343.jpg,73,73,73,78,73,73,0.75,0.76,0.77,0.75,0.75
199,image_00653.jpg,89,83,89,46,46,46,0.74,0.68,0.66,0.67,0.68
200,image_00602.jpg,89,89,51,46,51,51,0.79,0.74,0.75,0.74,0.68
201,image_00509.jpg,88,81,81,88,83,82,0.68,0.72,0.71,0.72,0.7
202,image_01374.jpg,51,51,51,51,81,88,0.7,0.7,0.72,0.64,0.72
203,image_00644.jpg,89,89,83,89,89,46,0.83,0.76,0.74,0.83,0.76
204,image_01540.jpg,44,44,44,44,89,82,0.76,0.7,0.69,0.7,0.69
205,image_01758.jpg,83,83,81,83,83,81,0.76,0.71,0.72,0.75,0.66
206,image_01718.jpg,83,83,83,83,83,46,0.71,0.66,0.71,0.72,0.73
207,image_00626.jpg,89,46,89,83,89,83,0.73,0.76,0.73,0.78,0.75
208,image_02017.jpg,80,80,80,88,80,89,0.63,0.69,0.69,0.63,0.68
209,image_01248.jpg,74,74,74,83,74,74,0.7,0.61,0.66,0.59,0.67
210,image_01160.jpg,74,74,88,74,88,74,0.79,0.73,0.72,0.76,0.74
211,image_01928.jpg,78,78,78,73,81,81,0.85,0.67,0.78,0.73,0.74
212,image_01923.jpg,78,78,78,78,73,73,0.82,0.74,0.74,0.72,0.74
213,image_01041.jpg,46,46,46,83,88,46,0.78,0.78,0.75,0.64,0.74
214,image_00688.jpg,89,74,89,89,89,83,0.66,0.77,0.78,0.73,0.77
215,image_00391.jpg,73,83,89,81,51,81,0.75,0.76,0.78,0.72,0.76
216,image_00152.jpg,77,77,77,77,77,77,0.8,0.77,0.75,0.83,0.73
217,image_00958.jpg,46,46,46,77,46,77,0.65,0.67,0.65,0.71,0.58
218,image_00925.jpg,81,81,81,82,83,82,0.78,0.8,0.74,0.76,0.75
219,image_01339.jpg,51,51,51,46,46,89,0.7,0.75,0.65,0.69,0.74
220,image_01113.jpg,46,46,46,46,46,46,0.73,0.78,0.75,0.76,0.71
221,image_00599.jpg,89,89,83,83,77,89,0.77,0.76,0.67,0.72,0.74
222,image_00028.jpg,77,82,82,77,82,77,0.71,0.76,0.65,0.7,0.74
223,image_00856.jpg,81,81,81,81,78,89,0.87,0.76,0.79,0.75,0.75
224,image_00088.jpg,77,77,82,82,82,74,0.87,0.75,0.72,0.72,0.71
225,image_01277.jpg,74,74,74,74,74,74,0.77,0.76,0.76,0.75,0.71
226,image_01228.jpg,74,74,83,88,88,74,0.83,0.73,0.81,0.77,0.7
227,image_01677.jpg,82,82,77,44,44,77,0.7,0.71,0.58,0.62,0.71
228,image_01217.jpg,74,83,51,83,74,51,0.74,0.74,0.73,0.69,0.67
229,image_01200.jpg,74,74,74,74,74,83,0.8,0.73,0.8,0.78,0.75
230,image_01819.jpg,83,83,89,88,83,89,0.77,0.82,0.75,0.66,0.76
231,image_01208.jpg,74,89,88,89,89,78,0.63,0.63,0.62,0.65,0.63
232,image_00841.jpg,81,81,81,81,81,81,0.87,0.86,0.84,0.8,0.87
233,image_01503.jpg,44,44,44,44,44,44,0.71,0.7,0.68,0.66,0.67
234,image_01632.jpg,82,83,82,82,73,81,0.74,0.74,0.75,0.71,0.68
235,image_01351.jpg,51,74,78,83,74,78,0.71,0.8,0.75,0.69,0.81
236,image_00809.jpg,81,81,81,78,81,81,0.69,0.74,0.71,0.76,0.72
237,image_02035.jpg,80,80,80,80,89,80,0.69,0.64,0.6,0.66,0.68
238,image_01395.jpg,51,82,82,88,88,51,0.65,0.66,0.59,0.62,0.7
239,image_00768.jpg,89,46,83,46,89,89,0.83,0.81,0.77,0.81,0.79
240,image_00406.jpg,73,78,73,77,74,73,0.74,0.73,0.66,0.71,0.8
241,image_01816.jpg,83,83,74,89,81,83,0.84,0.71,0.71,0.62,0.72
242,image_01933.jpg,78,78,78,73,78,78,0.96,0.69,0.68,0.8,0.7
243,image_02006.jpg,80,78,78,80,74,80,0.65,0.64,0.74,0.66,0.56
244,image_00477.jpg,88,88,88,74,74,74,0.77,0.66,0.71,0.71,0.74
245,image_01815.jpg,83,83,82,82,44,82,0.79,0.74,0.74,0.72,0.77
246,image_00898.jpg,81,78,78,78,74,73,0.81,0.82,0.83,0.72,0.8
247,image_01342.jpg,51,51,89,51,89,51,0.82,0.71,0.79,0.73,0.7
248,image_01913.jpg,78,78,78,88,78,88,0.91,0.83,0.66,0.75,0.64
249,image_00539.jpg,88,88,88,88,77,88,0.65,0.62,0.69,0.65,0.61
250,image_00912.jpg,81,81,81,81,81,82,0.79,0.88,0.81,0.76,0.74
251,image_00036.jpg,77,77,77,77,77,77,0.71,0.72,0.75,0.68,0.76
252,image_00422.jpg,73,73,78,78,73,78,0.9,0.68,0.76,0.68,0.74
253,image_01955.jpg,78,78,78,78,78,73,0.75,0.7,0.73,0.73,0.76
254,image_00926.jpg,81,81,81,81,81,81,1.0,0.83,0.81,0.82,0.79
255,image_00657.jpg,89,46,89,46,74,46,0.74,0.67,0.75,0.67,0.75
256,image_00997.jpg,46,46,46,46,46,89,0.77,0.82,0.79,0.79,0.73
257,image_00945.jpg,81,81,81,81,81,81,0.78,0.79,0.78,0.81,0.81
258,image_00274.jpg,73,73,73,73,73,73,0.74,0.75,0.76,0.72,0.7
259,image_00001.jpg,77,77,77,77,77,77,0.78,0.85,0.79,0.79,0.77
260,image_01162.jpg,74,88,88,88,74,78,0.65,0.65,0.65,0.72,0.67
261,image_01165.jpg,74,74,81,81,81,81,0.87,0.81,0.82,0.79,0.81
262,image_00493.jpg,88,88,74,51,83,88,0.7,0.68,0.74,0.7,0.68
263,image_01521.jpg,44,44,51,44,44,44,0.7,0.63,0.64,0.65,0.61
264,image_00878.jpg,81,81,81,81,81,83,0.82,0.81,0.81,0.81,0.76
265,image_00726.jpg,89,89,78,73,73,78,0.82,0.76,0.84,0.79,0.81
266,image_00277.jpg,73,73,78,78,82,77,0.77,0.7,0.71,0.76,0.73
267,image_00177.jpg,77,77,77,77,77,77,0.74,0.72,0.82,0.76,0.79
268,image_00432.jpg,73,74,89,81,88,44,0.68,0.72,0.69,0.62,0.75
269,image_00465.jpg,88,82,78,77,88,77,0.72,0.69,0.67,0.77,0.64
270,image_01460.jpg,51,51,51,51,51,51,0.73,0.69,0.65,0.68,0.65
271,image_01061.jpg,46,46,46,46,46,46,0.71,0.73,0.73,0.71,0.72
272,image_00523.jpg,88,88,77,77,82,46,0.66,0.64,0.63,0.65,0.67
273,image_00046.jpg,77,78,83,77,77,77,0.7,0.66,0.74,0.72,0.77
274,image_01385.jpg,51,51,51,51,51,51,0.81,0.83,0.82,0.78,0.81
275,image_01137.jpg,46,46,46,46,46,46,0.82,0.74,0.82,0.66,0.8
276,image_01266.jpg,74,88,74,74,88,74,0.64,0.67,0.65,0.66,0.66
277,image_01880.jpg,78,78,81,78,73,78,0.83,0.82,0.79,0.81,0.79
278,image_01087.jpg,46,46,46,46,51,46,0.68,0.69,0.68,0.59,0.68
279,image_00551.jpg,88,78,88,73,78,73,0.69,0.75,0.72,0.78,0.72
280,image_01329.jpg,51,51,89,83,89,80,0.79,0.7,0.75,0.73,0.74
281,image_00365.jpg,73,73,77,77,77,73,0.87,0.74,0.72,0.76,0.79
282,image_01747.jpg,83,83,83,83,89,89,0.68,0.7,0.71,0.69,0.71
283,image_01646.jpg,82,77,82,44,78,88,0.68,0.64,0.69,0.66,0.65
284,image_01360.jpg,51,83,51,51,82,74,0.78,0.67,0.71,0.71,0.65
285,image_01019.jpg,46,46,77,46,46,46,0.76,0.66,0.67,0.76,0.8
286,image_01633.jpg,82,82,82,82,77,78,0.79,0.69,0.7,0.68,0.68
287,image_00403.jpg,73,73,73,73,73,73,0.82,0.83,0.86,0.83,0.8
288,image_00362.jpg,73,73,73,77,73,73,0.8,0.85,0.7,0.77,0.75
289,image_00457.jpg,88,51,88,44,74,51,0.66,0.63,0.61,0.61,0.61
290,image_01654.jpg,82,82,73,82,82,82,0.84,0.7,0.71,0.78,0.75
291,image_01499.jpg,44,44,51,51,51,51,0.63,0.65,0.64,0.64,0.64
292,image_00205.jpg,77,82,77,77,77,77,0.69,0.75,0.7,0.73,0.7
293,image_01630.jpg,82,82,82,82,77,77,0.75,0.77,0.73,0.8,0.77
294,image_01018.jpg,46,89,80,51,89,80,0.72,0.62,0.74,0.68,0.63
295,image_01618.jpg,82,82,78,81,77,77,0.74,0.71,0.71,0.72,0.63
296,image_01846.jpg,78,78,78,78,78,73,0.82,0.83,0.86,0.87,0.73
297,image_00319.jpg,73,78,73,73,73,73,0.82,0.83,0.81,0.78,0.82
298,image_00724.jpg,89,89,89,89,89,89,0.68,0.75,0.71,0.73,0.75
299,image_00278.jpg,73,81,73,81,73,81,0.79,0.71,0.81,0.84,0.74
300,image_01264.jpg,74,74,88,74,88,74,0.63,0.67,0.65,0.65,0.65
301,image_01099.jpg,46,46,46,46,46,44,0.73,0.7,0.65,0.65,0.57
302,image_00445.jpg,73,73,73,83,81,82,0.93,0.79,0.83,0.75,0.72
303,image_01599.jpg,82,83,44,77,46,83,0.63,0.61,0.67,0.72,0.67
304,image_01154.jpg,74,74,81,74,74,73,0.76,0.71,0.74,0.63,0.71
305,image_01647.jpg,82,82,83,74,81,77,0.73,0.63,0.69,0.73,0.69
306,image_00827.jpg,81,78,78,73,81,81,0.8,0.82,0.79,0.84,0.8
307,image_00317.jpg,73,73,88,73,73,78,0.76,0.68,0.76,0.73,0.77
308,image_01777.jpg,83,83,82,83,83,51,0.73,0.69,0.76,0.78,0.74
309,image_01752.jpg,83,46,46,51,88,44,0.7,0.7,0.71,0.61,0.66
310,image_01651.jpg,82,81,82,82,46,77,0.69,0.7,0.72,0.7,0.61
311,image_00312.jpg,73,78,73,78,78,73,0.69,0.79,0.73,0.75,0.74
312,image_01510.jpg,44,44,73,82,82,82,0.78,0.76,0.73,0.78,0.76
313,image_01305.jpg,74,51,51,88,51,81,0.74,0.74,0.64,0.72,0.71
314,image_01899.jpg,78,88,88,73,80,88,0.69,0.67,0.67,0.65,0.69
315,image_00367.jpg,73,77,73,73,77,73,0.75,0.77,0.83,0.71,0.74
316,image_01895.jpg,78,81,78,89,81,73,0.76,0.74,0.73,0.75,0.69
317,image_01408.jpg,51,51,51,51,51,51,0.72,0.8,0.72,0.78,0.79
318,image_00571.jpg,88,44,88,83,82,80,0.66,0.69,0.67,0.74,0.67
319,image_00073.jpg,77,77,77,77,77,77,0.72,0.71,0.68,0.72,0.74
